doctor_id,doctor_name_zh,hospital_zh,department_zh,subdepartment_zh,specialty_raw_zh,source_url
CGMH_LINKOU_CARDIO_009,陳緯倫,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波,
CGMH_LINKOU_CARDIO_010,何建德,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波,
CGMH_LINKOU_CARDIO_011,許皓森,林口長庚紀念醫院,心臟內科,心臟內科,內科,
CGMH_LINKOU_CARDIO_012,侯冠榕,林口長庚紀念醫院,心臟內科,心臟內科,內科,
CGMH_LINKOU_CARDIO_013,張其任,林口長庚紀念醫院,心臟內科,心臟內科,冠狀動脈氣球擴張術及血管支架之裝設、周邊血管氣球擴張術及周邊血流超音波檢查、頸動脈血管支架、冠心病及高血壓、心衰竭病患之診療,
CGMH_LINKOU_CARDIO_014,葉勇信,林口長庚紀念醫院,心臟內科,心臟內科,心臟電氣生理檢查及介入性治療、心律調節器植入、冠心病及高血壓、心衰竭病患之診療,
CGMH_LINKOU_CARDIO_015,張伯丞,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、心律不整、心臟節律器治療、心臟血管超音波,
CGMH_LINKOU_CARDIO_016,陳靖蓉,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波,
CGMH_LINKOU_CARDIO_017,程文俊,林口長庚紀念醫院,心臟內科,心臟內科,一般心臟學、高血壓、心臟超音波,
CGMH_LINKOU_CARDIO_018,王俊傑,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、心律不整、心臟節律器治療,
CGMH_LINKOU_CARDIO_019,周宗川,林口長庚紀念醫院,心臟內科,心臟內科,電生理學檢查及電燒手術治療心律不整、基礎電生理、心臟超音波,
CGMH_LINKOU_CARDIO_020,林彥辰,林口長庚紀念醫院,心臟內科,心臟內科,心導管檢查及介入性治療 、週邊血管超音波,
CGMH_LINKOU_CARDIO_021,楊熙恆,林口長庚紀念醫院,心臟內科,心臟內科,內科,
CGMH_LINKOU_CARDIO_022,褚柏顯,林口長庚紀念醫院,心臟內科,心臟內科,臨床心臟血管病態生理學、心臟超音波、重症醫療照護、分子心臟醫學,
CGMH_LINKOU_CARDIO_023,顏琨麒,林口長庚紀念醫院,心臟內科,心臟內科,心臟電氣生理檢查及介入性治療、心律調節器植入及心臟超音波檢查,
CGMH_LINKOU_CARDIO_024,吳家棟,林口長庚紀念醫院,心臟內科,心臟內科,心臟電氣生理檢查及介入性治療、心律調節器植入及心臟超音波檢查,
CGMH_LINKOU_CARDIO_025,何明昀,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波,
CGMH_LINKOU_CARDIO_026,黃逸群,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波,
CGMH_LINKOU_CARDIO_027,謝侑叡,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波,
CGMH_LINKOU_CARDIO_028,張昱政,林口長庚紀念醫院,心臟內科,心臟內科,內科,
CGMH_LINKOU_CARDIO_029,巫龍昇,林口長庚紀念醫院,心臟內科,心臟內科,心臟電氣生理檢查及介入性治療、心律調節器植入及心臟超音波檢查,
CGMH_LINKOU_CARDIO_030,葉日凱,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波,
CGMH_LINKOU_CARDIO_031,賈晉原,林口長庚紀念醫院,心臟內科,心臟內科,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波,
